"","attr_importance"
"timedelta",6.5415884
"n_tokens_title",2.5811888
"n_tokens_content",4.9186267
"n_unique_tokens",6.6949458
"n_non_stop_words",6.5950855
"n_non_stop_unique_tokens",7.1141699
"num_hrefs",5.0168322
"num_self_hrefs",5.6349621
"num_imgs",7.8579937
"num_videos",6.8378532
"average_token_length",3.0363094
"num_keywords",4.8720442
"data_channel_is_lifestyle",3.7813582
"data_channel_is_entertainment",4.4716696
"data_channel_is_bus",6.1829932
"data_channel_is_socmed",5.5405174
"data_channel_is_tech",6.4838008
"data_channel_is_world",5.5382787
"kw_min_min",7.6188834
"kw_max_min",4.8157732
"kw_avg_min",4.6385113
"kw_min_max",5.8050846
"kw_max_max",5.0707394
"kw_avg_max",6.1163786
"kw_min_avg",5.2402358
"kw_max_avg",6.9755559
"kw_avg_avg",7.0875277
"self_reference_min_shares",9.8997971
"self_reference_max_shares",8.4772563
"self_reference_avg_sharess",6.517377
"weekday_is_monday",2.4564577
"weekday_is_tuesday",0.5834946
"weekday_is_wednesday",1.2298745
"weekday_is_thursday",0.301827
"weekday_is_friday",1.843723
"weekday_is_saturday",2.7574191
"weekday_is_sunday",3.096867
"is_weekend",2.653966
"LDA_00",5.7407669
"LDA_01",9.5702103
"LDA_02",5.1733565
"LDA_03",6.3782389
"LDA_04",9.2099022
"global_subjectivity",5.8999408
"global_sentiment_polarity",7.1517945
"global_rate_positive_words",2.2907885
"global_rate_negative_words",5.9797038
"rate_positive_words",4.1463882
"rate_negative_words",5.1226315
"avg_positive_polarity",3.9215271
"min_positive_polarity",3.6173377
"max_positive_polarity",5.1625749
"avg_negative_polarity",6.3914124
"min_negative_polarity",5.7635763
"max_negative_polarity",5.2461968
"title_subjectivity",4.5214761
"title_sentiment_polarity",5.3535593
"abs_title_subjectivity",2.3552599
"abs_title_sentiment_polarity",3.22772
