"","TuneC","TuneG","Avg_Accuracy","Avg_TPR0","Avg_TPR1","Kappa"
"1","c=0.01","g=0.0001",0.508,1,0,0
"2","c=0.01","g=0.001",0.5081,1,0.00015,2e-04
"3","c=0.1","g=0.0001",0.50875,0.9983,0.0032,0.0015
"4","c=0.1","g=0.001",0.6284,0.6388,0.6177,0.2565
"5","c=0.1","g=0.01",0.6466,0.64875,0.64445,0.29305
"6","c=0.1","g=0.1",0.6184,0.4547,0.7874,0.24085
"7","c=0.1","g=1",0.508,1,0,0
"8","c=1","g=0.0001",0.62635,0.6328,0.61975,0.2526
"9","c=1","g=0.001",0.6449,0.6512,0.6385,0.2896
"10","c=1","g=0.01",0.65905,0.69015,0.62685,0.31735
"11","c=1","g=0.1",0.64405,0.6376,0.6507,0.28825
"12","c=1","g=1",0.5079,0.99575,0.00405,-2e-04
"13","c=10","g=0.001",0.6511,0.66665,0.63495,0.30175
"14","c=10","g=0.01",0.654,0.69315,0.6136,0.3071
"15","c=10","g=0.1",0.61435,0.597,0.6323,0.2291
"16","c=100","g=0.001",0.65515,0.69055,0.6186,0.30945
"17","c=100","g=0.01",0.62095,0.6554,0.58535,0.241
"18","c=100","g=def",0.60295,0.6385,0.5663,0.20495
"19","c=def","g=def",0.6624,0.6624,0.62755,0.324
